ID;Number of Threads;Execution time for reading image (ms);Task Execution time (ms);Execution time for retrieving result from tasks (ms);Total processor execution time (ms);Image name;Successful
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;23;0;44;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;29;0;52;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;23;25;0;48;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;23;28;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;28;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;31;0;52;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;29;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;25;0;46;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;33;0;54;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;23;23;0;46;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;32;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;30;0;52;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;26;0;48;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;26;0;48;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;32;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;30;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;32;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;31;0;54;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;28;0;49;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;26;0;48;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;26;0;47;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;30;0;52;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;32;0;54;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;32;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;24;0;45;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;26;0;49;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;31;0;52;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;26;0;47;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;31;0;52;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;28;0;49;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;32;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;32;0;52;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;29;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;26;0;47;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;30;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;28;0;49;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;30;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;27;0;48;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;29;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;31;0;52;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;31;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;31;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;29;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;32;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;26;0;48;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;29;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;30;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;30;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;29;0;52;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;26;0;47;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;30;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;28;0;49;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;25;0;47;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;34;0;56;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;30;0;52;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;27;0;47;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;32;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;29;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;30;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;29;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;29;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;32;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;30;0;52;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;24;0;46;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;30;0;52;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;32;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;32;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;28;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;30;0;52;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;28;0;49;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;29;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;25;0;47;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;30;0;52;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;29;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;31;0;52;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;28;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;24;0;45;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;31;0;52;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;30;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;27;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;30;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;31;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;29;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;25;0;47;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;29;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;26;0;47;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;27;0;48;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;29;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;32;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;29;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;30;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;25;0;46;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;31;0;52;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;31;0;52;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;31;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;29;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;28;0;49;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;28;0;49;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;29;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;29;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;30;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;29;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;28;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;32;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;24;0;44;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;32;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;26;0;49;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;29;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;30;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;31;0;52;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;25;0;48;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;30;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;29;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;28;0;49;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;30;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;31;0;52;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;29;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;32;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;28;0;49;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;23;0;44;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;30;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;35;0;56;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;27;0;48;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;33;0;54;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;32;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;25;0;47;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;27;0;48;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;31;0;52;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;32;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;24;0;46;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;31;0;52;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;29;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;32;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;28;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;26;0;47;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;24;0;45;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;28;0;48;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;30;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;31;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;30;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;30;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;26;0;48;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;26;0;48;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;26;0;47;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;28;0;49;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;30;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;32;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;29;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;29;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;31;0;52;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;32;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;28;0;49;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;33;0;55;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;31;0;52;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;30;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;28;0;49;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;34;0;54;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;32;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;30;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;26;0;47;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;23;0;45;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;26;0;47;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;31;0;52;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;31;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;31;0;54;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;32;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;31;0;52;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;29;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;24;0;47;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;27;0;48;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;29;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;32;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;25;0;47;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;32;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;29;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;29;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;28;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;27;0;48;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;26;0;47;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;31;0;52;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;29;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;31;0;52;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;32;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;27;0;48;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;32;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;31;0;52;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;32;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;29;0;52;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;25;0;46;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;29;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;29;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;25;0;47;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;28;0;49;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;30;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;30;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;30;0;52;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;32;0;54;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;30;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;30;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;30;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;32;0;54;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;25;0;46;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;26;0;48;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;27;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;29;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;32;0;54;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;25;0;46;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;32;0;54;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;27;0;48;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;29;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;32;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;31;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;27;0;48;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;26;0;47;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;31;0;52;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;30;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;27;0;48;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;30;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;30;0;52;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;32;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;29;0;49;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;29;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;26;0;49;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;32;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;29;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;29;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;26;0;48;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;31;0;52;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;31;0;52;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;27;0;48;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;28;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;26;0;47;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;32;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;27;0;47;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;29;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;29;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;30;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;30;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;26;0;47;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;29;0;49;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;30;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;34;0;55;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;32;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;32;0;52;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;32;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;25;0;47;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;28;0;49;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;32;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;28;0;49;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;27;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;26;0;47;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;27;0;48;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;31;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;28;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;26;0;47;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;31;0;52;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;32;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;31;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;26;0;47;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;29;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;26;0;47;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;27;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;29;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;31;0;52;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;31;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;28;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;26;0;48;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;33;0;54;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;25;0;46;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;29;0;50;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;32;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;30;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;32;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;28;0;49;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;28;0;49;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;20;30;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;31;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;30;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;30;0;51;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;26;0;47;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;22;30;0;52;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;32;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;32;0;53;3.harold_large.jpg;true
6569ec78-8eb6-4883-a18c-cf07623208d9;7;21;25;0;46;3.harold_large.jpg;true
